environment,Claude Code_mean_actions,Codex_mean_actions,GenPlan_mean_actions,Planner_mean_actions,Claude Code_successful_seeds,Codex_successful_seeds,GenPlan_successful_seeds,Planner_successful_seeds
balancebeam3d,318.66,495.905,,,24;42;424,24;42,,
clutteredstorage2d_generalized,348.74,,,,222;424,,,
dynamicshelf3d_generalized,980.89,368.81,,,424,222,,
dynamo3d_generalized,280.375,34.438,,,42;222;424;444,24;42;222;424;444,,
dynpusht2d,209.948,473.34,,,24;42;222;424;444,424,,
dynscooppour2d_generalized,508.99,556.92,,,424,222,,
motion2d_generalized,65.732,82.64200000000001,78.98,,24;42;222;424;444,24;42;222;424;444,24;444,
obstruction2d_generalized,50.470000000000006,,149.27,,24;42;222;424;444,,24,
obstruction3d_generalized,61.27,,,,24,,,
pr2packed_generalized,57.667500000000004,165.51,,,24;222;424;444,222,,
pushpullhook2d,77.595,,,,24;424,,,
rovers_generalized,24.00666666666667,31.47,,,222;424;444,42,,
stickbutton2d_generalized,60.35600000000001,,,,24;42;222;424;444,,,
table3d_generalized,37.40599999999999,13.754999999999999,330.52,,24;42;222;424;444,24;222;424;444,424,
tossing3d_generalized,151.1233333333333,,,,24;42;222,,,
transport3d_generalized,147.52333333333334,,,,24;424;444,,,
